#Parameters = {n=24}
#"Frequency / GHz"	"Z (n=24) [Re]"	"Z (n=24) [Im]"
#-------------------------------------------------
0.022528370230792	0.044309771010510	0.90954799624690
0.022733173596526	0.029048066404392	0.92560314786576
0.022937976962260	0.039265901690830	0.94816588943827
0.023142780327995	0.051946481855351	0.94423776952135
0.023347583693729	0.037760694253055	0.94204254332306
0.023552387059464	0.029546553917194	0.96642652373751
0.023757190425198	0.046950600146157	0.98065592048049
0.023961993790933	0.050171658905268	0.97088518714126
0.024166797156667	0.031633969475939	0.97906315454571
0.024371600522402	0.034444084362494	1.0061728775886
0.024576403888136	0.052825494953559	1.0089868438351
0.024781207253871	0.044488598979558	1.0000450747422
0.024986010619605	0.028575079038651	1.0196435205204
0.025190813985340	0.042360172115631	1.0423650248957
0.025395617351074	0.054636295155115	1.0349278596925
0.025600420716809	0.037009067692943	1.0336951909221
0.025805224082543	0.030225331422162	1.0613820323045
