#
#"Frequency / GHz"	"Z [Re]"	"Z [Im]"
#-----------------------------------
0.58363124285184	0.25375687473199	2.8644354764519
0.58875081515756	0.25756672196854	2.8935322996088
0.59387038746328	0.26106572938171	2.9222079360630
0.59898995976900	0.26408170282347	2.9514726507382
0.60410953207472	0.26763228971918	2.9815028004164
0.60922910438043	0.27189211838269	3.0113370981065
0.61434867668615	0.27596685632253	3.0408841794330
0.61946824899187	0.27987635453237	3.0710876761610
0.62458782129759	0.28471029358412	3.1020025009762
0.62970739360331	0.29088889464388	3.1326086770225
0.63482696590902	0.29802609484531	3.1621587747839
0.63994653821474	0.30572252885898	3.1899790323287
0.64506611052046	0.31259550331670	3.2151526877319
0.65018568282618	0.31601676309192	3.2386125093793
0.65530525513189	0.31532307293499	3.2639845350030
0.66042482743761	0.31376609447094	3.2937096958065
0.66554439974333	0.31466418730872	3.3258751283187
